ذرية	ðurrijjah
غرور	ɣurur
صدر	sˤadara
قد	qudd
متناول	mutanawil
موقع	mawqiʕ
تل	tall
سياج	sijad͡ʒ
طابق	tˤabaq
طموحات	tˤumuħat
عام	ʕamm
مخبول	maxbul
مهرجان	mahrad͡ʒan
بلغاريا	balɣarja
اشتهى	iʃtaha
دابر	dabir
إبيقوري	ʔibiqurijj
مستوصف	mustawsˤaf
ظمئ	ðˤamiʔa
مرصد	marsˤad
مغامر	muɣamir
موسمي	mawsimijj
خلنجان	xaland͡ʒan
ذاكرة	ðakira
الحبشة	alħabaʃa
جسماني	d͡ʒismanijj
فتح	fataħa
دقنيش	daqniʃ
حائط	ħaʔitˤ
قفقف	qafqafa
صغار	sˤiɣar
صقر	sˤaqr
كسوة	kuswa
عمودي	ʕamudijj
سقنقور	saqanqur
مؤامرة	muʔamara
غاسول	ɣasul
مدهش	mudhaʃ
ملاحظ	mulaħaðˤ
قشر	qiʃr
قدم	qadm
كذاب	kaððab
ثلج	θald͡ʒ
لسع	lasaʕa
سخبر	saxbar
برقوق	barquq
بادية	badija
استغرق	istaɣraqa
طرشي	tˤurʃijj
أنفق	ʔanfaqa
بوط	butˤ
شوبك	ʃawbak
صابح	sˤabiħ
مذي	maði
بالون	balun
معاينة	muʕajana
كثيف	kaθif
اعتزام	iʕtizam
أغلب	ʔaɣlaba
خلاعي	xalaʕijj
راع	raʕin
تكشف	takaʃʃafa
ذنب	ðanaba
رحمن	raħħimna
ضاد	dˤadda
بواب	bawwab
منارة	manara
كدس	kaddasa
كشوت	kuʃuθ
قنبر	ɡəmbri
أجمع	ʔad͡ʒmaʕa
زقوم	zaqqum
حلقوس	ħalqus
ناطف	natˤif
أعقد	ʔaʕqad
وتدي	watadijj
طاولة	tˤawila
شرطة	ʃurtˤa
عربة	ʕaraba
أخدر	ʔaxdara
طاء	tˤaʔ
رتيلاء	rutajlaʔ
منذ	munðu
مشعل	maʃʕal
خثي	xiθj
هبة	hibba
بحر	baħara
راسخت	rasuxt
ق	qaf
روسيا	rusija
علة	ʕilla
لمى	lama
هذيان	haðajan
معى	miʕan
كوخ	kux
شيخوخة	ʃajxuxa
رفقة	rifqa
أسترالي	ʔusturalijj
طيارة	tˤijjara
أحاط	ʔaħatˤa
سبتمبر	sabtambar
وفاء	wæfæʔ
ركبة	rakaba
شياف	ʃijaf
غبي	ɣabija
إنجليزي	ʔind͡ʒlizijj
خطف	xatˤifa
كره	karuha
دكان	dukkan
مسن	musinn
سلاف	sulaf
رئيس	raʔis
تساءل	tasaʔala
شوكي	ʃawkijj
تراجيديا	trad͡ʒidja
يؤيؤ	juʔjuʔ
حنة	ħinna
مشتريات	muʃtarajat
أساسي	ʔasasijj
سكة	sikka
وقت	waqt
ملاحظ	mulaħiðˤ
بولندا	polanda
حجة	ħid͡ʒd͡ʒa
لاح	laħa
استقدم	istaqdama
محافظ	maħafiðˤ
يحيى	jaħja
سنت	sunnat
راعدة	raʕida
استقل	istaqalla
شفاف	ʃaffaf
ض	ðˤ
موريتانيا	muritanija
واحة	waħa
صوت	sˤawt
عجب	ʕad͡ʒab
وقف	waqqafa
اغتصب	iɣtasˤaba
نسبي	nisbijj
أكثرية	ʔakθarijja
فعل	faʕala
غني	ɣanijj
كدس	kadasa
عباءة	ʕabaʔa
حالة	ħala
أسرة	ʔusra
أعذب	ʔaʕðaba
عاصف	ʕasˤif
شابانج	ʃabanad͡ʒ
يد	jad
هوندوراس	honduras
تعادل	taʕadala
ورى	wara
مزمن	muzmin
قرش	qarʃ
فرشاة	furʃah
زوج	zawd͡ʒ
عسجد	ʕasd͡ʒad
دستوري	dusturijj
شطر	ʃatˤara
أولى	ʔula
أنفحة	ʔanfiħa
منغوليا	monɣolija
جزدان	d͡ʒizdan
مكالمة	mukalama
نهض	nahdˤ
بعيثران	buʕajθaran
صحيفة	sˤaħifa
باطني	batˤinijj
مالك	malik
هميان	himjan
فأر	faʔr
وزغ	wazaɣ
أخ	ʔax
أشعل	ʔaʃʕal
لم	lam
جلنار	d͡ʒullanar
استنتاج	istintad͡ʒ
محيل	muħil
فوذنج	fuðanad͡ʒ
لوطي	lutˤi
إدارة	ʔidara
حنجري	ħand͡ʒarijj
حرمل	ħarmal
طقس	tˤaʔs
طقس	tˤaqs
تدرب	tadarrub
غير	ɣajjara
إنترنت	ʔintarnat
تعزل	taʕazzala
شمشاد	ʃamʃad
قنجة	qand͡ʒa
شب	ʃabba
حقق	ħuqaq
قبج	qabad͡ʒ
أصغى	ʔasˤɣa
سئم	saʔima
آخر	ʔaxar
مشواة	miʃwah
أرجواني	ʔurd͡ʒuwanijj
درس	darrasa
علي	ʕalija
أراد	ʔarada
توزيع	tawziʕ
دين	dajjana
نسكي	nusukijj
استجهل	istad͡ʒhala
كهنوت	kahanut
سكران	sakran
ط	tˤ
تغريد	taɣrid
جذع	d͡ʒaðaʕ
بثور	buθur
زنجبيل	zand͡ʒabil
بطروخ	batˤrux
أخلاقية	ʔaxlaqijja
اصهب	isˤhabba
أعتن	ʔaʕtana
ترجمة	tard͡ʒama
رمل	raml
تدرج	tadarrud͡ʒ
القسطنطينية	alqustˤantˤinijja
ؤ	ʔu
